date,description,amount,category
01-01-2024,Freelance project payment,38961,Income
01-01-2024,Books purchase,-5558,Education
02-01-2024,Movie tickets,-5641,Entertainment
02-01-2024,Snacks from CCD,-1774,Food
03-01-2024,Freelance project payment,54186,Income
04-01-2024,Monthly salary deposit,28358,Income
04-01-2024,Petrol pump refill,-5567,Transport
05-01-2024,Petrol pump refill,-3775,Transport
06-01-2024,Electronics store purchase,-1861,Shopping
06-01-2024,Amusement park,-5115,Entertainment
07-01-2024,Monthly salary deposit,58944,Income
08-01-2024,Snacks from CCD,-3615,Food
08-01-2024,Clothes shopping at Mall,-1977,Shopping
08-01-2024,Dental checkup,-3778,Health
09-01-2024,Restaurant lunch,-1248,Food
09-01-2024,Dental checkup,-3987,Health
10-01-2024,Books purchase,-1744,Education
11-01-2024,Clothes shopping at Mall,-2104,Shopping
12-01-2024,Books purchase,-5704,Education
13-01-2024,Professional certification,-1109,Education
13-01-2024,Bonus received,28010,Income
14-01-2024,Freelance project payment,40897,Income
14-01-2024,Amazon online purchase,-2917,Shopping
14-01-2024,Freelance project payment,31160,Income
15-01-2024,Bonus received,19263,Income
15-01-2024,Online course,-1843,Education
16-01-2024,Bonus received,15208,Income
16-01-2024,Doctor consultation,-2490,Health
16-01-2024,Weekend getaway,-927,Entertainment
17-01-2024,Amusement park,-2350,Entertainment
17-01-2024,Restaurant lunch,-2535,Food
18-01-2024,Internet bill,-3265,Bills
18-01-2024,Grocery shopping at D-Mart,-2540,Food
19-01-2024,Restaurant lunch,-3657,Food
20-01-2024,Grocery shopping at D-Mart,-1890,Food
21-01-2024,Freelance project payment,22068,Income
22-01-2024,Dental checkup,-3396,Health
22-01-2024,Clothes shopping at Mall,-1858,Shopping
22-01-2024,Electricity bill,-2644,Bills
23-01-2024,Movie tickets,-4042,Entertainment
24-01-2024,Home appliances,-2480,Shopping
24-01-2024,Dental checkup,-2584,Health
24-01-2024,Weekly groceries,-2598,Food
25-01-2024,Concert ticket,-4780,Entertainment
25-01-2024,Clothes shopping at Mall,-389,Shopping
25-01-2024,Books purchase,-3871,Education
26-01-2024,Online course,-4068,Education
27-01-2024,Weekly groceries,-398,Food
27-01-2024,Clothes shopping at Mall,-5929,Shopping
27-01-2024,Water bill payment,-3108,Bills
28-01-2024,Movie tickets,-4145,Entertainment
28-01-2024,Movie tickets,-4338,Entertainment
28-01-2024,Doctor consultation,-4033,Health
29-01-2024,Bowling night,-4401,Entertainment
30-01-2024,Amusement park,-4198,Entertainment
30-01-2024,Home decor,-5174,Shopping
31-01-2024,Professional certification,-418,Education
31-01-2024,Concert ticket,-4562,Entertainment
01-02-2024,Restaurant lunch,-3227,Food
01-02-2024,Monthly salary deposit,51549,Income
02-02-2024,Amazon online purchase,-1324,Shopping
02-02-2024,Freelance project payment,44465,Income
02-02-2024,Restaurant lunch,-3462,Food
03-02-2024,Concert ticket,-3365,Entertainment
04-02-2024,Movie tickets,-5717,Entertainment
05-02-2024,Mobile recharge,-2377,Bills
05-02-2024,Rent payment,-2049,Bills
05-02-2024,Home decor,-5635,Shopping
06-02-2024,Weekly groceries,-2352,Food
07-02-2024,Metro recharge,-2434,Transport
08-02-2024,Online course,-5817,Education
08-02-2024,Clothes shopping at Mall,-3072,Shopping
09-02-2024,Bowling night,-1618,Entertainment
09-02-2024,Home decor,-4638,Shopping
09-02-2024,Freelance project payment,50041,Income
10-02-2024,Amusement park,-2568,Entertainment
11-02-2024,Weekend getaway,-3711,Entertainment
11-02-2024,Furniture purchase,-235,Shopping
11-02-2024,Bonus received,47981,Income
12-02-2024,Dental checkup,-3416,Health
13-02-2024,Mobile recharge,-1758,Bills
14-02-2024,Grocery shopping at D-Mart,-1108,Food
15-02-2024,Gym membership,-4355,Health
16-02-2024,Bonus received,22169,Income
16-02-2024,Doctor consultation,-5744,Health
17-02-2024,Water bill payment,-4860,Bills
17-02-2024,Gym membership,-5565,Health
18-02-2024,Movie tickets,-5969,Entertainment
18-02-2024,Movie tickets,-3854,Entertainment
18-02-2024,Weekend getaway,-3768,Entertainment
19-02-2024,Movie tickets,-3683,Entertainment
19-02-2024,Freelance project payment,36851,Income
20-02-2024,Professional certification,-2011,Education
20-02-2024,Electronics store purchase,-1226,Shopping
21-02-2024,Petrol pump refill,-1239,Transport
21-02-2024,Dinner at restaurant,-2375,Food
